name,state,nda_index
Ellicott City,MD,6.0
Asheville,NC,8.3
Kettering,OH,16.7
Murfreesboro,TN,12.7
Austin,TX,23.0
Carrollton,TX,13.0
Sugar Land,TX,3.0
Portsmouth Heights,VA,0.0
North Peoria,IL,7.0
Detroit,MI,27.7
Southfield,MI,8.7
Cheektowaga,NY,6.3
Oshkosh,WI,18.3
Apple Valley,CA,6.7
Arcadia,CA,9.7
Highland,CA,10.3
Rancho Cucamonga,CA,9.0
Richmond,CA,16.7
Kirkland,WA,26.0
Little Rock,AR,11.3
Hialeah,FL,13.7
Margate,FL,15.0
Ocala,FL,10.7
Orlando,FL,20.3
West Hollywood,FL,4.0
Coon Rapids,MN,5.0
New Rochelle,NY,12.3
Columbia,MO,15.0
Burlington,NC,10.3
West Raleigh,NC,24.0
Grand Prairie,TX,13.7
McAllen,TX,7.0
West Hartford,CT,11.3
Bolingbrook,IL,13.3
Owensboro,KY,13.7
New Orleans,LA,23.3
Scranton,PA,17.7
Anaheim,CA,21.7
Buena Park,CA,12.0
Huntington Beach,CA,13.0
Mira Mesa,CA,23.3
Pico Rivera,CA,16.3
Redondo Beach,CA,21.7
South San Francisco,CA,18.7
Victorville,CA,8.7
El Paso,TX,15.3
Bend,OR,24.3
Ogden,UT,17.0
Taylorsville,UT,21.7
Kennewick,WA,6.7
Renton,WA,23.3
Financial District,NY,29.3
Tucson,AZ,6.7
Chico,CA,15.7
East Los Angeles,CA,9.7
Huntington Park,CA,23.3
Lake Elsinore,CA,4.7
Lodi,CA,16.7
Menifee,CA,0.0
San Bernardino,CA,15.0
Stockton,CA,9.7
Denver,CO,27.7
North Las Vegas,NV,16.0
Lubbock,TX,8.7
Eugene,OR,26.0
Everett,WA,25.0
Frederick,MD,20.0
Greenville,NC,12.7
Vineland,NJ,8.7
Kingsport,TN,11.7
Allen,TX,0.0
Corpus Christi,TX,13.7
Killeen,TX,7.0
Spring,TX,4.3
Newport News,VA,9.3
South Suffolk,VA,9.7
Meriden,CT,12.7
